a,Year,Culture,ProductivityValue,Stock price,Planting price
Белгородская область,2020,просо,25.8,18,540
Брянская область,2020,просо,15.3,18,540
Воронежская область,2020,просо,15.2,18,540
Курская область,2020,просо,17,18,540
Липецкая область,2020,просо,19,18,540
Московская область,2020,просо,7.2,18,540
Орловская область,2020,просо,22.9,18,540
Смоленская область,2020,просо,16.8,18,540
Тамбовская область,2020,просо,28.3,18,540
Тульская область,2020,просо,29.7,18,540
Республика Адыгея,2020,просо,11.6,18,540
Республика Калмыкия,2020,просо,6.7,18,540
Республика Крым,2020,просо,10.6,18,540
Краснодарский край,2020,просо,16.8,18,540
Волгоградская область,2020,просо,8.7,18,540
Ростовская область,2020,просо,9.7,18,540
Кабардино-Балкарская Республика,2020,просо,6.1,18,540
Чеченская Республика,2020,просо,13.5,18,540
Ставропольский край,2020,просо,6.3,18,540
Республика Башкортостан,2020,просо,14.1,18,540
Республика Мордовия,2020,просо,25,18,540
Республика Татарстан,2020,просо,17.5,18,540
Удмуртская Республика,2020,просо,9.8,18,540
Чувашская Республика,2020,просо,17,18,540
Нижегородская область,2020,просо,13.9,18,540
Оренбургская область,2020,просо,7.5,18,540
Пензенская область,2020,просо,19.4,18,540
Самарская область,2020,просо,9.9,18,540
Саратовская область,2020,просо,12,18,540
Ульяновская область,2020,просо,12.9,18,540
Курганская область,2020,просо,9,18,540
Челябинская область,2020,просо,6.5,18,540
Республика Тыва,2020,просо,24.9,18,540
Алтайский край,2020,просо,13.4,18,540
Красноярский край,2020,просо,8.5,18,540
Иркутская область,2020,просо,9.5,18,540
Кемеровская область,2020,просо,22.6,18,540
Новосибирская область,2020,просо,7.3,18,540
Омская область,2020,просо,13.1,18,540
Белгородская область,2021,просо,22.2,18,540
Воронежская область,2021,просо,18.1,18,540
Курская область,2021,просо,22.5,18,540
Липецкая область,2021,просо,21.4,18,540
Орловская область,2021,просо,18.7,18,540
Тамбовская область,2021,просо,22.7,18,540
Тульская область,2021,просо,23.9,18,540
Республика Калмыкия,2021,просо,14.5,18,540
Республика Крым,2021,просо,21.5,18,540
Краснодарский край,2021,просо,22.4,18,540
Волгоградская область,2021,просо,12.2,18,540
Ростовская область,2021,просо,18.4,18,540
Республика Дагестан,2021,просо,15,18,540
Кабардино-Балкарская Республика,2021,просо,15.6,18,540
Чеченская Республика,2021,просо,14.9,18,540
Ставропольский край,2021,просо,24.7,18,540
Республика Башкортостан,2021,просо,8.2,18,540
Республика Мордовия,2021,просо,17.3,18,540
Республика Татарстан,2021,просо,10,18,540
Чувашская Республика,2021,просо,23.8,18,540
Нижегородская область,2021,просо,8.5,18,540
Пензенская область,2021,просо,16.4,18,540
Самарская область,2021,просо,13.2,18,540
Саратовская область,2021,просо,12,18,540
Ульяновская область,2021,просо,10.3,18,540
Челябинская область,2021,просо,10,18,540
Республика Тыва,2021,просо,10.7,18,540
